1975594,"turmas-graduacao","2018.2","AAS0452","EDUCACAO ESPECIAL E INCLUSAO (1206025)","60h","2N34 4N12"
1975594,"turmas-graduacao","2018.2","AAS0700","LIBRAS (1200585)","60h","2N12 4N34"
1975594,"turmas-graduacao","2018.2","CMA1458","LÍNGUA BRASILEIRA DE SINAIS - LIBRAS","60h","2N12 4N34"
1975594,"turmas-graduacao","2018.2","CMA1463","PRÁTICAS PEDAGÓGICAS INTEGRATIVAS III","60h","35N12"
1975594,"turmas-graduacao","2018.1","AAS0452","EDUCACAO ESPECIAL E INCLUSAO (1206025)","60h","2N34 4N12"
1975594,"turmas-graduacao","2018.1","CMA1456","EDUCAÇÃO ESPECIAL E INCLUSIVA","60h","2N34 4N12"
1975594,"turmas-graduacao","2018.1","AAS0700","LIBRAS (1200585)","60h","2N12 4N34"
1975594,"turmas-graduacao","2018.1","AAS0462","LIBRAS (1206096)","60h","3M45 5M23"
1975594,"turmas-graduacao","2017.2","AAS0452","EDUCACAO ESPECIAL E INCLUSAO (1206025)","60h","2N34 4N12"
1975594,"turmas-graduacao","2017.2","AAS0700","LIBRAS (1200585)","60h","25N12"
1975594,"turmas-graduacao","2017.2","AAS0462","LIBRAS (1206096)","60h","3M45 5M23"
1975594,"turmas-graduacao","2013.2","AAS0452","EDUCACAO ESPECIAL E INCLUSAO (1206025)","60h","2N1234"
1975594,"turmas-graduacao","2013.2","AAS0462","LIBRAS (1206096)","60h","35M45"
1975594,"turmas-graduacao","2013.2","AAM0750","PRATICA DE ENSINO V: ENSINO-APRENDIZAGEM DE COMPUTACAO","90h","7M23  35N34"
1975594,"turmas-graduacao","2013.1","AAS0452","EDUCACAO ESPECIAL E INCLUSAO (1206025)","60h","4N1234"
1975594,"turmas-graduacao","2013.1","AAS0700","LIBRAS (1200585)","60h","6T1234"
1975594,"turmas-graduacao","2013.1","AAS0700","LIBRAS (1200585)","60h","5T2345"
1975594,"turmas-graduacao","2013.1","AAS0462","LIBRAS (1206096)","60h","46M45"
1975594,"turmas-graduacao","2013.1","AAS0462","LIBRAS (1206096)","60h","6T1234"
1975594,"turmas-graduacao","2013.1","AAM0715","PRATICA DE ENSINO I: EDUCACAO EM COMPUTACAO","75h","5N1234 7N1"
1975594,"turmas-graduacao","2012.2","AAS0452","EDUCACAO ESPECIAL E INCLUSAO (1206025)","60h","3T45 5T23"
1975594,"turmas-graduacao","2012.2","AAS0462","LIBRAS (1206096)","60h","2T45 4T23"
1975594,"turmas-graduacao","2012.2","AAS0462","LIBRAS (1206096)","60h","6T2345"
1975594,"turmas-graduacao","2012.2","AAM0715","PRATICA DE ENSINO I: EDUCACAO EM COMPUTACAO","75h","7M1  5N1234"
